,rating,description,review,titles,price
0,5.0,"★Tên: Kẹp tóc nơ hai lớp★Chất liệu: cao su, hợp kim, chiffon★Màu sắc: Như hình★Kích thước: 20*14cm★Phong cách: Hàn Quốc & thời trang★Dịp sử dụng: nâng hàng ngày, tiệc tùng, kỷ niệm, quà tặng★Đóng gói: 1 chiếc kẹp tóc/1 chiếc băng đô","đầy đủ hàng, rẻ đẹp, đóng gói bằng bao nylon kf hộp giấy 😦 tuy k ảnh hưởng đến bông tai và dây buộc nhưng đồng hồ mình đặt bị vỡ 😢 mong shop rút kinh nghiệm",Nơ kẹp tóc dành cho nữ nơ 2 lớp xin xắn ngọt ngào phong cách Hàn Quốc FINE TOO,8300.0
1,5.0,"★Màu sắc: Như hình
★Phong cách: Hàn Quốc & thời trang
★Dịp lễ: quà sinh nhật Tiệc
★Đóng gói: đôi bông tai

",ok.....................................................................................................................,FINE TOO Thời Trang Hàn Quốc Băng Đô Ngọc Trai Ins Băng Đô Công Chúa Phụ Nữ Thanh Lịch Phụ Kiện Tóc Quà Tặng,8300.0
2,5.0,"Mô tả sản phẩm❤❤Nguồn cung cấp ngoài giáTên: Băng Đô Kẹp tóc nơ Hàn QuốcChất liệu: cao su, hợp kim, chiffonMàu sắc: Như hìnhKích thước: 20*14cmPhong cách: Hàn Quốc & thời trangDịp sử dụng: nâng hàng ngày, tiệc tùng, kỷ niệm, quà tặngĐóng gói: 1 chiếc kẹp tóc/1 chiếc băng đô","giao hàng hơi lâu vì shop ở nước ngoài, đóng gói sản phẩm cẩn thận và giao đúng mẫu, giá cả hợp lý,sẽ tiếp tục ủng hộ",Kẹp tóc nơ to chất lụa siêu yêu 17Mile thời trang Hàn Quốc,7800.0
3,5.0,"BẢNG 60 MÀU MỚI UPDATESize: Free- Chất liệu: Vải satin Hàn bóng, loại đẹp,, hàng nhà may form nhún, đeo tay thoải mái, giá siêu hạt dẻ- Màu: nhiều, chat với shop lựa màu cònMô tả sản phẩm:- Thiết kế vải họa tiết tạo điểm nhấn tinh tế, đặc biệt.- Thiết kế thun co dãn thoải mái- Chút điệu đà , giúp các nàng thêm phần yêu kiềuSử dụng & phối đồ:- Thích hợp đi làm, đi tiệc hay đi chơi.- Bạn có thể búi gọn gàn hay xỏa bồng bền phối với các bộ đầm ""bánh bèo"" hay những set đồ cá tính.",Đẹp lắm nha :))),[Ảnh thật]SCRUNCHIES SATIN BÓNG- CỘT TÓC VẢI THỜI TRANG NỮ,4325.0
4,5.0,"Size: Free- Chất liệu: von Hàn màu càu vồng lấp lánh sao bên ngoài, bên trong satin bóng dày dặn, phiên bản limited cao cấpHàng nhà em may nhieuf vải, độ nhún phồng nhieuf, rất đẹp, khách đừng so giá với hàng 13-18k lưới thô to lưới loại 2, nhà em lưới mịn màu tươi may vải dư tạo độ nhún nhiều nha, hàng chuẩn Mô tả sản phẩm:- Thiết kế vải họa tiết tạo điểm nhấn tinh tế, đặc biệt.- Thiết kế thun co dãn giúp thoải mái sủ dụng- Chút điệu đà , giúp các nàng thêm phần yêu kiềuSử dụng & phối đồ:- Thích hợp đi làm, đi tiệc hay đi chơi.- Bạn có thể búi gọn gàn hay xỏa bồng bền phối với các bộ đầm ""bánh bèo"" hay những set đồ cá tính.",đẹp như hình,"CỘT TÓC ĐEO TAY SCRUNCHIES GALAXY NGÀN SAO- LOẠI ĐẸP SIÊU NHÚN PHỒNG, 20 MÀU THAY ĐỔI HÀNG NGÀY, PHIÊN BẢN LIMITED - PHỤ KIỆN TÓC HÀN QUỐC ULZZANG",7219.0
5,5.0,"[Video 28 mẫu] Cột tóc đèn Led siêu phát sáng, Scrunchies đèn Led 3 kiểu nhấp nháy, Led đom đóm, Scrunchies phát sáng, dây buộc tóc phát sáng, cột tóc scrunchies galaxy ngàn sao, dây buộc tóc giá rẻ, đồ cột tóc rẻ - Bách hóa Takamart","Sp như QC, nhận hàng còn được quà bé khủng long vàng xinh xắn ^^ nice.","[Video 42 mẫu Hot Trend] Cột tóc đèn Led siêu phát sáng, Scrunchies đèn Led 3 kiểu nhấp nháy, Led đom đóm, crunchies cột tóc phát sáng, dây buộc tóc phát sáng, cột tóc scrunchies galaxy, dây buộc tóc, đồ cột tóc rẻ - Bách hóa Takamart",13227.0
6,5.0,"Chào mừng bạn đến với cửa hàng trang sức thời trang.Sản phẩm chính của chúng tôi là bông tai, vòng tay, dây chuyền, vòng chân, nhẫn, đồng hồ và áo trùm đầu.Nếu bạn thích các mặt hàng của chúng tôi, xin vui lòng theo dõi chúng tôi, Cảm ơn bạn.",Tr ơi đẹp dã mắn luôn mở ra mà sốc luôn ý đẹp kinh khủng mà còn dễ kẹp nx kẹp phát đc luôn rất chắc chắn nên mua nha nn k hối hận đâu,Phụ kiện kẹp tóc càng cua hình bướm + ngọc trai kiểu dáng tinh tế thời trang dành cho nữ,14535.0
7,5.0,"[SIÊU HOT 2021] Cột tóc, dây buộc tóc, cột tóc Hàn Quốc SCRUNCHIES Vải Voan Hoa cúc Họa mi xinh xắn, nhiều màu độc đáo - Bách hóa TakamartChất liệu siêu mềm mịn, màu sắc tươi tắnCột tóc, dây buộc tóc, cột tóc Hàn Quốc SCRUNCHIES Vải Voan Hoa cúc Họa mi: họa tiết bắt mắt xinh xắn, đáng yêuCột tóc, dây buộc tóc, cột tóc Hàn Quốc SCRUNCHIES Vải Voan Hoa cúc Họa mi: Hot trend 2020Phù hợp với nhiều loại trang phụcCột tóc, dây buộc tóc, cột tóc Hàn Quốc SCRUNCHIES Vải Voan Hoa cúc Họa mi: Tạo ấn tượng dễ thương, năng động cho bạn gái ","Ta nói nó đẹpppp zìììì đâu ớ,nhưng mà đeo nó hơi đẹppp ó nhoa:))","[59 mẫu Hot Trend+Video] Cột tóc Scrunchies Galaxy Cầu vồng, Trái Bơ, Hoa Cúc, Phi bóng, dây buộc tóc Hoa Cúc, dây cột tóc SCRUNCHIES Vải Voan Hàn Quốc siêu đẹp, dây buộc tóc giá rẻ, đồ cột tóc nữ hot, thun buộc tóc - Bách hóa Takamart",6283.0
8,5.0,Tên sản phẩm: Khăn choàng khăn choàng ăn liềnKhoản mục: WJ1026Chất liệu: HijabMàu ： 80 màuKích thước ： 70 * 70cmtrọng lượng: 70g,Video va anh mang tinh chat nhan xu . Còn lại khăn đẹp lắm nha Video va anh mang tinh chat nhan xu . Còn lại khăn đẹp lắm nha,Khăn quàng vuông trùm đầu nhỏ 70cm phong cách thời trang Nhật Bản - Hàn Quốc thích hợp dùng mùa xuân và hè dành cho nữ WJ1026,31000.0
9,5.0,"- Size: S, M, L- Áo thiết kế kiểu dáng thời trang thích hợp làm áo chống nắng hoặc áo khoác ngoài- Áo có hàng ngàn lỗ thoáng khí, không gây nóng, bức, khó chịu khi mặc",sp rất ucii luon ạ. vừa vặn với mình cực rất hài lòng luôn. cho shop 5* luonnnnnnmmmmmmmnnnnmnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,Áo chống nắng thông hơi túi cuộn siêu thoáng khí chất liệu cotton áo thiết kế kiểu dáng thời trang thích hợp làm áo chống nắng hoặc áo khoác ngoài,56782.0
